neighborhood,listings,property_1,price_1,property_2,price_2,property_3,price_3,order1,order2,order3,bar,ranking
Mission District,738,400,$276 ,306,$115 ,32,$63 ,276,115,63,1,first
SoMa,396,183,$283 ,157,$120 ,56,$73 ,283,120,73,0.536585366,second
Western Addition/NoPa,340,202,$288 ,124,$123 ,14,$57 ,288,123,57,0.460704607,third
Richmond District,306,157,$222 ,125,$104 ,24,$49 ,222,104,49,0.414634146,fourth
Bernal Heights,271,183,$219 ,86,$110 ,2,$78 ,219,110,78,0.367208672,fifth
Outer Sunset,269,118,$204 ,89,$94 ,62,$41 ,204,94,41,0.364498645,sixth
The Castro,264,163,$270 ,100,$128 ,1,$47 ,270,128,47,0.357723577,seventh
Noe Valley,253,157,$257 ,96,$131 ,0,-,257,131,0,0.342818428,eighth
Nob Hill,198,130,$237 ,64,$122 ,4,$110 ,237,122,110,0.268292683,ninth
Downtown/Union Square,183,119,$202 ,63,$155 ,1,$999 ,202,155,999,0.24796748,10th
Potrero Hill,182,120,$279 ,60,$124 ,2,$100 ,279,124,100,0.246612466,11th
Pacific Heights,180,127,$323 ,51,$133 ,2,$250 ,323,133,250,0.243902439,12th
Haight-Ashbury,169,93,$283 ,74,$121 ,2,$92 ,283,121,92,0.22899729,13th
Hayes Valley,145,84,$274 ,61,$118 ,0,-,274,118,0,0.196476965,14th
Inner Sunset,115,68,$220 ,44,$90 ,3,$62 ,220,90,62,0.155826558,15th
Marina,113,94,$304 ,18,$165 ,1,$70 ,304,165,70,0.153116531,16th
Telegraph Hill,92,51,$292 ,26,$131 ,15,$53 ,292,131,53,0.124661247,17th
Duboce Triangle,90,53,$295 ,36,$123 ,1,$110 ,295,123,110,0.12195122,18th
Alamo Square,87,52,$259 ,34,$115 ,1,$95 ,259,115,95,0.117886179,19th
Russian Hill,85,59,$348 ,25,$139 ,1,$80 ,348,139,80,0.115176152,20th
Cole Valley,84,53,$333 ,30,$111 ,1,$60 ,333,111,60,0.113821138,21st
Bayview,78,27,$147 ,48,$91 ,3,$51 ,147,91,51,0.105691057,22nd
Cow Hollow,68,55,$272 ,13,$146 ,0,-,272,146,0,0.092140921,23rd
Sunnyside,67,36,$220 ,31,$157 ,0,-,220,157,0,0.090785908,24th
Tenderloin,61,32,$194 ,27,$91 ,2,$83 ,194,91,83,0.082655827,25th
Glen Park,59,42,$265 ,17,$123 ,0,-,265,123,0,0.079945799,26th
Chinatown,55,39,$214 ,9,$89 ,7,$31 ,214,89,31,0.074525745,27th
Excelsior,54,27,$212 ,27,$77 ,0,-,212,77,0,0.073170732,28th
North Beach,52,30,$270 ,20,$123 ,2,$83 ,270,123,83,0.070460705,29th
Twin Peaks,51,36,$249 ,15,$118 ,0,-,249,118,0,0.069105691,30th
Mission Terrace,44,18,$208 ,26,$91 ,0,-,208,91,0,0.059620596,31st
Ocean View,43,9,$186 ,19,$83 ,15,$38 ,186,83,38,0.058265583,32nd
Balboa Terrace,37,13,$215 ,19,$81 ,5,$46 ,215,81,46,0.050135501,33rd
Financial District,36,13,$438 ,9,$176 ,14,$48 ,438,176,48,0.048780488,34th
Fisherman's Wharf,29,24,$293 ,5,$93 ,0,-,293,93,0,0.039295393,35th
Civic Center,26,17,$156 ,6,$112 ,3,$69 ,156,112,69,0.035230352,36th
Crocker-Amazon,26,12,$129 ,13,$79 ,1,$41 ,129,79,41,0.035230352,36th
Dogpatch,26,20,$258 ,6,$113 ,0,-,258,113,0,0.035230352,36th
Presidio Heights,26,13,$418 ,13,$108 ,0,-,418,108,0,0.035230352,36th
Ingleside,25,16,$181 ,8,$71 ,1,$98 ,181,71,98,0.033875339,40th
Portola,25,12,$179 ,12,$78 ,1,$25 ,179,78,25,0.033875339,40th
South Beach,21,15,$279 ,6,$100 ,0,-,279,100,0,0.028455285,42nd
Visitacion Valley,20,8,$135 ,12,$107 ,0,-,135,107,0,0.027100271,43rd
Diamond Heights,11,5,$231 ,6,$98 ,0,-,231,98,0,0.014905149,44th
Parkside,2,0,-,2,$89 ,0,-,0,89,0,0.002710027,45th
Lower Haight,1,0,-,1,$101 ,0,-,0,101,0,0.001355014,last
